Title,DOI,Author
Assessing urinary phenol and paraben mixtures in pregnant women with and without gestational diabetes mellitus: A case-control study,https://doi.org/10.1016/j.envres.2022.113897,"Chen WJ, Robledo C, Davis EM, Goodman JR, Xu C, Hwang J, Janitz AE, Garwe T, Calafat AM, Peck JD."
An evaluation of Hamiltonian Monte Carlo performance to calibrate age-structured compartmental SEIR models to incidence data,https://doi.org/10.1016/j.epidem.2020.100415,"Andrade J, Duggan J."
Scope of Mendelian randomization to control for unobserved confounding in epidemiology,https://doi.org/10.1016/j.gaceta.2021.01.008,"Ancira-Moreno, M; Smith, N; Lamadrid-Figueroa, H"
Propensity score methods to control for confounding in observational cohort studies: a statistical primer and application to endoscopy research,https://doi.org/10.1016/j.gie.2019.04.236,"Yang, JY; Webster-Clark, M; Lund, JL; Sandler, RS; Dellon, ES; Stürmer, T"
Reducing the complexity of high-dimensional environmental data: An analytical framework using LASSO with considerations of confounding for statistical inference,https://doi.org/10.1016/j.ijheh.2023.114116,"Frndak, S; Yu, G; Oulhote, Y; Queirolo, EI; Barg, G; Vahter, M; Manay, N; Peregalli, F; Olson, JR; Ahmed, Z; Kordas, K"
Using computable knowledge mined from the literature to elucidate confounders for EHR-based pharmacovigilance,https://doi.org/10.1016/j.jbi.2021.103719,"Malec, SA; Wei, P; Bernstam, EV; Boyce, RD; Cohen, T"
Adjusting for indirectly measured confounding using large-scale propensity score,https://doi.org/10.1016/j.jbi.2022.104204,"Zhang, LY; Wang, YX; Schuemie, MJ; Blei, DM; Hripcsak, G"
A sensitivity analysis using information about measured confounders yielded improved uncertainty assessments for unmeasured confounding,https://doi.org/10.1016/j.jclinepi.2007.05.006,"Mccandless, LC; Gustafson, P; Levy, AR"
External adjustment for unmeasured confounders improved drug-outcome association estimates based on health care utilization data,https://doi.org/10.1016/j.jclinepi.2012.03.014,"Corrao, G; Nicotra, F; Parodi, A; Zambon, A; Soranna, D; Heiman, F; Merlino, L; Mancia, G"
Reporting of covariate selection and balance assessment in propensity score analysis is suboptimal: a systematic review,https://doi.org/10.1016/j.jclinepi.2014.08.011,"Ali MS, Groenwold RH, Belitser SV, Pestman WR, Hoes AW, Roes KC, Boer Ad, Klungel OH."
Birth cohort appeared to confound effect estimates of guideline changes on statin utilization,https://doi.org/10.1016/j.jclinepi.2014.10.010,"Bijlsma, MJ; Janssen, F; Lub, R; Bos, JHJ; De Vries, FM; Vansteelandt, S; Hak, E"
Comparison of high-dimensional confounder summary scores in comparative studies of newly marketed medications,https://doi.org/10.1016/j.jclinepi.2016.02.011,"Kumamaru, H; Gagnea, JJ; Glynn, RJ; Setoguchi, S; Schneeweiss, S"
Magnitude and direction of missing confounders had different consequences on treatment effect estimation in propensity score analysis,https://doi.org/10.1016/j.jclinepi.2017.04.001,"Nguyen, TL; Collins, GS; Spence, J; Fontaine, C; Daurès, JP; Devereaux, PJ; Landais, P; Le Manach, Y"
Adjusting for unmeasured confounding in nonrandomized longitudinal studies: a methodological review,https://doi.org/10.1016/j.jclinepi.2017.04.022,"Streeter, AJ; Lin, NX; Crathorne, L; Haasova, M; Hyde, C; Melzer, D; Henley, WE"
"Approaches to addressing missing values, measurement error, and confounding in epidemiologic studies",https://doi.org/10.1016/j.jclinepi.2020.11.006,"van Smeden, M; de Vries, BBLP; Nab, L; Groenwold, RHH"
On the selection of variables in criminology: Adjusting for the descendants of unobserved confounders,https://doi.org/10.1016/j.jcrimjus.2022.101924,"Silver, IA; Lonergan, H; Nedelec, JL"
"Second-generation corneal deformation signal waveform analysis in normal, forme fruste keratoconic, and manifest keratoconic corneas after statistical correction for potentially confounding factors",https://doi.org/10.1016/j.jcrs.2015.11.011,"Zhang L, Danesh J, Tannan A, Phan V, Yu F, Hamilton DR."
Causal inference of general treatment effects using neural networks with a diverging number of confounders,https://doi.org/10.1016/j.jeconom.2023.105555,"Chen, XH; Liu, Y; Ma, SJ; Zhang, Z"
Intensive care unit (ICU)-acquired bacteraemia and ICU mortality and discharge: addressing time-varying confounding using appropriate methodology,https://doi.org/10.1016/j.jhin.2017.11.011,"Pouwels, KB; Vansteelandt, S; Batra, R; Edgeworth, JD; Smieszek, T; Robotham, JV"
Predictors of leiomyoma recurrence after laparoscopic myomectomy,https://doi.org/10.1016/j.jmig.2007.06.003,"Yoo EH, Lee PI, Huh CY, Kim DH, Lee BS, Lee JK, Kim D."
Network inference in the presence of latent confounders: The role of instantaneous causalities,https://doi.org/10.1016/j.jneumeth.2015.02.015,"Elsegai, H; Shiells, H; Thiel, M; Schelter, B"
"Nonlinear association criterion, nonlinear Granger causality and related issues with applications to neuroimage studies",https://doi.org/10.1016/j.jneumeth.2016.01.003,"Tao C, Feng J."
Detecting multiple confounders,https://doi.org/10.1016/j.jspi.2008.06.013,"Wang, XL; Geng, Z; Chen, H; Xie, XC"
Similar failure and patency rates when comparing one- and two-stage basilic vein transposition,https://doi.org/10.1016/j.jvs.2014.11.083,"Cooper J, Power AH, DeRose G, Forbes TL, Dubois L."
A practical method to control spatiotemporal confounding in environmental impact studies,https://doi.org/10.1016/j.mex.2018.07.003,"Hatami, R"
Dynamic Causal Modelling and physiological confounds: A functional MRI study of vagus nerve stimulation,https://doi.org/10.1016/j.neuroimage.2010.05.021,"Reyt, S; Picq, C; Sinniger, V; Clarençon, D; Bonaz, B; David, O"
Identification of causal relations in neuroimaging data with latent confounders: An instrumental variable approach,https://doi.org/10.1016/j.neuroimage.2015.10.062,"Grosse-Wentrup, M; Janzing, D; Siegel, M; Schölkopf, B"
Model selection for identifying power-law scaling,https://doi.org/10.1016/j.neuroimage.2016.01.008,"Ton R, Daffertshofer A."
Examining how physician factors influence patient satisfaction during clinical consultations about cancer prognosis and pain,https://doi.org/10.1016/j.pecinn.2022.100017,"Lou Z, Vivas-Valencia C, Shields CG, Kong N."
The impact of confounder selection in propensity scores when applied to prospective cohort studies in pregnancy,https://doi.org/10.1016/j.reprotox.2018.04.003,"Xu, RH; Hou, J; Chambers, CD"
Association of low-level inorganic arsenic exposure from rice with age-standardized mortality risk of cardiovascular disease (CVD) in England and Wales,https://doi.org/10.1016/j.scitotenv.2020.140534,"Xu L, Polya DA, Li Q, Mondal D."
Variable selection in heterogeneous datasets: A truncated-rank sparse linear mixed model with applications to genome-wide association studies,https://doi.org/10.1016/j.ymeth.2018.04.021,"Wang H, Aragam B, Xing EP."
Assessing topological congruence among concatenation-based phylogenomic approaches in empirical datasets,https://doi.org/10.1016/j.ympev.2021.107086,"Torres A, Goloboff PA, Catalano SA."
Risk factors of prolonged postoperative pleural effusion after repair of tetralogy of Fallot,https://doi.org/10.1016/s1726-4901(09)70155-8,"Liang CM, Hwang B, Lu JH, Lee PC, Weng ZC, Ho TY, Meng CC."
"Challenging the utility of polygenic scores for social science: Environmental confounding, downward causation, and unknown biology",https://doi.org/10.1017/S0140525X22001145,"Burt, CH"
"Challenging the utility of polygenic scores for social science: Environmental confounding, downward causation, and unknown biology",https://doi.org/10.1017/S0140525X22002394,"Zietsch, BP; Abdellaoui, A; Verweij, KJH"
Applications of the propensity score weighting method in psychogeriatric research: correcting selection bias and adjusting for confounders,https://doi.org/10.1017/S1041610216002490,"Chang, CCH"
Sources of confounding in life course epidemiology,https://doi.org/10.1017/S2040174418000582,"Santos, S; Zugna, D; Pizzi, C; Richiardi, L"
A Functional Bayesian Model for Hydrogen-Deuterium Exchange Mass Spectrometry,https://doi.org/10.1021/acs.jproteome.3c00297,"Crook OM, Gittens N, Chung CW, Deane CM."
Assessing Mediation Using Marginal Structural Models in the Presence of Confounding and Moderation,https://doi.org/10.1037/a0029311,"Coffman, DL; Zhong, W"
Structural Equation Modeling Versus Marginal Structural Modeling for Assessing Mediation in the Presence of Posttreatment Confounding,https://doi.org/10.1037/a0036368,"Moerkerke, B; Loeys, T; Vansteelandt, S"
Combating Unmeasured Confounding in Cross-Sectional Studies: Evaluating Instrumental-Variable and Heckman Selection Models,https://doi.org/10.1037/a0037416,"DeMaris, A"
Confounding in Statistical Mediation Analysis: What It Is and How to Address It,https://doi.org/10.1037/cou0000242,"Valente, MJ; Pelham, WE; Smyth, H; MacKinnon, DP"
The Impact of Measurement Error and Omitting Confounders on Statistical Inference of Mediation Effects and Tools for Sensitivity Analysis,https://doi.org/10.1037/met0000345,"Liu, X; Wang, LJ"
Data-Driven Covariate Selection for Confounding Adjustment by Focusing on the Stability of the Effect Estimator,https://doi.org/10.1037/met0000564,"Loh, WW; Ren, DN"
How Do Unobserved Confounding Mediators and Measurement Error Impact Estimated Mediation Effects and Corresponding Statistical Inferences? Introducing the R Package ConMed for Sensitivity Analysis,https://doi.org/10.1037/met0000567,"Lin, QY; Nuttall, AK; Zhang, Q; Frank, KA"
"One Step at a Time: A Statistical Approach for Distinguishing Mediators, Confounders, and Colliders Using Direction Dependence Analysis",https://doi.org/10.1037/met0000619,"Shi, DX; Fairchild, AJ; Wiedermann, W"
Uncovering interpretable potential confounders in electronic medical records,https://doi.org/10.1038/s41467-022-28546-8,"Zeng, JM; Gensheimer, MF; Rubin, DL; Athey, S; Shachter, RD"
High-throughput target trial emulation for Alzheimer's disease drug repurposing with real-world data,https://doi.org/10.1038/s41467-023-43929-1,"Zang C, Zhang H, Xu J, Zhang H, Fouladvand S, Havaldar S, Cheng F, Chen K, Chen Y, Glicksberg BS, Chen J, Bian J, Wang F."
Adjusting for genetic confounders in transcriptome-wide association studies improves discovery of risk genes of complex traits,https://doi.org/10.1038/s41588-023-01648-9,"Zhao, SM; Crouse, W; Qian, S; Luo, KX; Stephens, M; He, X"
Adjusting for genetic confounders in transcriptome-wide association studies improves discovery of risk genes of complex traits,https://doi.org/10.1038/s41588-023-01648-9,"Zhao, SM; Crouse, W; Qian, S; Luo, KX; Stephens, M; He, X"
Nutritional status and anxious and depressive symptoms in anorexia nervosa: a prospective study,https://doi.org/10.1038/s41598-020-79410-y,"Pleplé A, Lalanne C, Huas C, Mattar L, Hanachi M, Flament MF, Carchon I, Jouen F, Berthoz S, Godart N."
The benefits of selecting phenotype-specific variants for applications of mixed models in genomics,https://doi.org/10.1038/srep01815,"Lippert C, Quon G, Kang EY, Kadie CM, Listgarten J, Heckerman D."
Sire coloration influences offspring survival under predation risk in the moorfrog,https://doi.org/10.1046/j.1420-9101.2003.00606.x,"Sheldon BC, Arponen H, Laurila A, Crochet PA, Merilä J."
Abnormal Mineral Metabolism and Mortality in Hemodialysis Patients With Secondary Hyperparathyroidism: Evidence From Marginal Structural Models Used to Adjust for Time-Dependent Confounding,https://doi.org/10.1053/j.ajkd.2013.08.011,"Fukagawa, M; Kido, R; Komaba, H; Onishi, Y; Yamaguchi, T; Hasegawa, T; Kurita, N; Fukuma, S; Akizawa, T; Fukuhara, S"
Time-Dependent Confounding in the Estimation of Treatment Effects in Randomised Trials with Multimodal Therapies - An Illustration of the Problem of Time-Dependent Confounding by Causal Graphs,https://doi.org/10.1055/s-0033-1355405,"Zietemann, VD; Schuster, T; Duell, THG"
"Smoking as potential confounder in German epidemiological studies:: Standardization of assessment, quantification, and analysis",https://doi.org/10.1055/s-2005-858807,"Latza, U; Hoffmann, W; Terschüren, C; Chang-Claude, J; Kreuzer, M; Rosario, AS; Kropp, S; Stang, A; Ahrens, W; Lampert, T; Straif, K"
Unobserved time effects confound the identification of climate change impacts,https://doi.org/10.1073/pnas.1202049109,"Auffhammer, M; Vincent, JR"
Using machine learning to estimate the effect of racial segregation on COVID-19 mortality in the United States,https://doi.org/10.1073/pnas.2015577118,Torrats-Espinosa G.
An Introduction to Propensity Score Methods for Reducing the Effects of Confounding in Observational Studies,https://doi.org/10.1080/00273171.2011.568786,"Austin, PC"
Direction Dependence Analysis in the Presence of Confounders: Applications to Linear Mediation Models Using Observational Data,https://doi.org/10.1080/00273171.2018.1528542,"Wiedermann, W; Sebastian, J"
A More Efficient Causal Mediator Model Without the No-Unmeasured-Confounder Assumption,https://doi.org/10.1080/00273171.2019.1656051,"Brandt, H"
Tuning Random Forests for Causal Inference under Cluster-Level Unmeasured Confounding,https://doi.org/10.1080/00273171.2021.1994364,"Suk, Y; Kang, H"
Causal inference with missingness in confounder,https://doi.org/10.1080/00949655.2022.2089672,"Bagmar, MSH; Shen, H"
Adjustment for Missing Confounders Using External Validation Data and Propensity Scores,https://doi.org/10.1080/01621459.2011.643739,"McCandless, LC; Richardson, S; Best, N"
Some Statistical Strategies for DAE-seq Data Analysis: Variable Selection and Modeling Dependencies among Observations,https://doi.org/10.1080/01621459.2013.869222,"Rashid NU, Sun W, Ibrahim JG."
Uncertainty in Propensity Score Estimation: Bayesian Methods for Variable Selection and Model Averaged Causal Effects,https://doi.org/10.1080/01621459.2013.869498,"Zigler CM, Dominici F."
Regularization Methods for High-Dimensional Instrumental Variables Regression With an Application to Genetical Genomics,https://doi.org/10.1080/01621459.2014.908125,"Lin W, Feng R, Li H."
Treatment Effect Estimation Under Additive Hazards Models With High-Dimensional Confounding,https://doi.org/10.1080/01621459.2021.1930546,"Hou, J; Bradic, J; Xu, RH"
Identifying Effects of Multiple Treatments in the Presence of Unmeasured Confounding,https://doi.org/10.1080/01621459.2021.2023551,"Miao, W; Hu, WJ; Ogburn, EL; Zhou, XH"
Proximal Learning for Individualized Treatment Regimes Under Unmeasured Confounding,https://doi.org/10.1080/01621459.2022.2147841,"Qi, ZL; Miao, R; Zhang, XK"
Nonlinear Causal Discovery with Confounders,https://doi.org/10.1080/01621459.2023.2179490,"Li, CL; Shen, XT; Pan, W"
Sensitivity to Unobserved Confounding in Studies with Factor-Structured Outcomes,https://doi.org/10.1080/01621459.2023.2240053,"Zheng, JJ; Wu, JX; D'Amour, A; Franks, A"
De-confounding Causal Inference Using Latent Multiple-Mediator Pathways,https://doi.org/10.1080/01621459.2023.2240461,"Yuan, YB; Qu, AN"
Discovery and Inference of a Causal Network with Hidden Confounding,https://doi.org/10.1080/01621459.2023.2261658,"Chen, L; Li, CL; Shen, XT; Pan, W"
Doubly-Valid/Doubly-Sharp Sensitivity Analysis for Causal Inference with Unmeasured Confounding,https://doi.org/10.1080/01621459.2024.2335588,"Dorn, J; Guo, K; Kallus, N"
Confounding adjustment methods for multi-level treatment comparisons under lack of positivity and unknown model specification,https://doi.org/10.1080/02664763.2021.1911966,"Diop, SA; Duchesne, T; Cumming, SG; Diop, A; Talbot, D"
Sensitivity analysis of unmeasured confounding in causal inference based on exponential tilting and super learner,https://doi.org/10.1080/02664763.2021.1999398,"Zhou, M; Yao, WX"
Examining the Error of Mis-Specifying Nonlinear Confounding Effect With Application on Accelerometer-Measured Physical Activity,https://doi.org/10.1080/02701367.2017.1296101,"Lee, PH"
Association of corticosteroid use and attention deficit/hyperactivity disorder in asthmatic children varies by age,https://doi.org/10.1080/02770903.2022.2089995,"Xie L, Gelfand A, Mathew MS, Atem FD, Delclos GL, Messiah SE."
"Comments on ""Unobservable Selection and Coefficient Stability: Theory and Evidence"" and ""Poorly Measured Confounders are More Useful on the Left Than on the Right""",https://doi.org/10.1080/07350015.2019.1575743,"De Luca, G; Magnus, JR; Peracchi, F"
Confounding and causation in the epidemiology of lead,https://doi.org/10.1080/09603123.2016.1161179,"Wilson, IH; Wilson, SB"
Using Bayesian networks to clarify interpretation of exposure-response regression coefficients: blood lead-mortality association as an example,https://doi.org/10.1080/10408444.2020.1787329,Cox LA Jr.
The effect of confounding variables in studies of lead exposure and IQ,https://doi.org/10.1080/10408444.2020.1842851,"Van Landingham, C; Fuller, WG; Schoof, RA"
Comparison of statistical methodologies used to estimate the treatment effect on time-to-event outcomes in observational studies,https://doi.org/10.1080/10543406.2021.1918140,"Jreich R, Sebastien B."
Meta-analysis of lung cancer in asphalt roofing and paving workers with external adjustment for confounding by coal tar,https://doi.org/10.1080/15459620701335035,"Fayerweather, WE"
Controlling for spatial confounding and spatial interference in causal inference: modelling insights from a computational experiment,https://doi.org/10.1080/19475683.2023.2257788,"Hoffman, TD; Kedron, P"
Confounded Local Inference: Extending Local Moran Statistics to Handle Confounding,https://doi.org/10.1080/24694452.2024.2326541,"Wolf, LJ"
Identifying confounding by indication through blinded prospective review,https://doi.org/10.1093/aje/154.3.276,"Johnston, SC"
Causal knowledge as a prerequisite for confounding evaluation:: An application to birth defects epidemiology,https://doi.org/10.1093/aje/155.2.176,"Hernán, MA; Hernández-Díaz, S; Werler, MM; Mitchell, AA"
Is residual confounding a reasonable explanation for the apparent protective effects of beta-carotene found in epidemiologic studies of lung cancer in smokers?,https://doi.org/10.1093/aje/155.7.622,"Stram, DO; Huberman, M; Wu, AH"
Dealing With Treatment-Confounder Feedback and Sparse Follow-up in Longitudinal Studies: Application of a Marginal Structural Model in a Multiple Sclerosis Cohort,https://doi.org/10.1093/aje/kwaa243,"Karim, ME; Tremlett, H; Zhu, F; Petkau, J; Kingwell, E"
Recent Methodological Trends in Epidemiology: No Need for Data-Driven Variable Selection?,https://doi.org/10.1093/aje/kwad193,"Staerk C, Byrd A, Mayr A."
Confounder Adjustment Using the Disease Risk Score: A Proposal for Weighting Methods,https://doi.org/10.1093/aje/kwad196,"Nguyen, TL; Debray, TPA; Youn, B; Simoneau, G; Collins, GS"
Comparison of logistic regression versus propensity score when the number of events is low and there are multiple confounders,https://doi.org/10.1093/aje/kwg115,"Cepeda, MS; Boston, R; Farrar, JT; Strom, BL"
Monte Carlo sensitivity analysis and Bayesian analysis of smoking as an unmeasured confounder in a study of silica and lung cancer,https://doi.org/10.1093/aje/kwh211,"Steenland, K; Greenland, S"
An application of model-fitting procedures for marginal structural models,https://doi.org/10.1093/aje/kwi208,"Mortimer KM, Neugebauer R, van der Laan M, Tager IB."
Invited commentary: Variable selection versus shrinkage in the control of multiple confounders,https://doi.org/10.1093/aje/kwm355,"Greenland, S"
"Pischon et al. Respond to ""Variable Selection versus Shrinkage in Control of Confounders""",https://doi.org/10.1093/aje/kwm358,"Pischon, T; Schulze, MB; Drogan, D; Boeing, H"
"Re: ""Invited commentary: Variable selection versus shrinkage in the control of multiple confounders"" (vol 167, pg 523, 2008)",https://doi.org/10.1093/aje/kwn088,"Gustafson, P; Greenland, S"
Confounding by Dietary Patterns of the Inverse Association Between Alcohol Consumption and Type 2 Diabetes Risk,https://doi.org/10.1093/aje/kwp096,"Imamura, F; Lichtenstein, AH; Dallal, GE; Meigs, JB; Jacques, PF"
Time-modified Confounding,https://doi.org/10.1093/aje/kwp175,"Platt, RW; Schisterman, EF; Cole, SR"
Effects of Socioeconomic and Racial Residential Segregation on Preterm Birth: A Cautionary Tale of Structural Confounding,https://doi.org/10.1093/aje/kwp435,"Messer, LC; Oakes, JM; Mason, S"
Treatment Effects in the Presence of Unmeasured Confounding: Dealing With Observations in the Tails of the Propensity Score Distribution-A Simulation Study,https://doi.org/10.1093/aje/kwq198,"Stürmer, T; Rothman, KJ; Avorn, J; Glynn, RJ"
Covariate selection in high-dimensional propensity score analyses of treatment effects in small samples,https://doi.org/10.1093/aje/kwr001,"Rassen JA, Glynn RJ, Brookhart MA, Schneeweiss S."
"Performance of Disease Risk Scores, Propensity Scores, and Traditional Multivariable Outcome Regression in the Presence of Multiple Confounders",https://doi.org/10.1093/aje/kwr143,"Arbogast, PG; Ray, WA"
Comparison of Instrumental Variable Analysis Using a New Instrument With Risk Adjustment Methods to Reduce Confounding by Indication,https://doi.org/10.1093/aje/kwr448,"Fang, G; Brooks, JM; Chrischilles, EA"
The Table 2 Fallacy: Presenting and Interpreting Confounder and Modifier Coefficients,https://doi.org/10.1093/aje/kws412,"Westreich, D; Greenland, S"
A Comparison of Confounding Adjustment Methods for Assessment of Asthma Controller Medication Effectiveness,https://doi.org/10.1093/aje/kwt323,"Li, LL; Vollmer, WM; Butler, MG; Wu, PS; Kharbanda, EO; Wu, AC"
Adjustment for Missing Confounders in Studies Based on Observational Databases: 2-Stage Calibration Combining Propensity Scores From Primary and Validation Data,https://doi.org/10.1093/aje/kwu130,"Lin, HW; Chen, YH"
Mediation Analysis With Intermediate Confounding: Structural Equation Modeling Viewed Through the Causal Inference Lens,https://doi.org/10.1093/aje/kwu239,"De Stavola, BL; Daniel, RM; Ploubidis, GB; Micali, N"
Controlling Time-Dependent Confounding by Health Status and Frailty: Restriction Versus Statistical Adjustment,https://doi.org/10.1093/aje/kwu485,"McGrath, LJ; Ellis, AR; Brookhart, MA"
Regularized Regression Versus the High-Dimensional Propensity Score for Confounding Adjustment in Secondary Database Analyses,https://doi.org/10.1093/aje/kwv108,"Franklin, JM; Eddings, W; Glynn, RJ; Schneeweiss, S"
"The ""Dry-Run"" Analysis: A Method for Evaluating Risk Scores for Confounding Control",https://doi.org/10.1093/aje/kwx032,"Wyss, R; Hansen, BB; Ellis, AR; Gagne, JJ; Desai, RJ; Glynn, RJ; Stürmer, T"
Selecting Shrinkage Parameters for Effect Estimation: The Multi-Ethnic Study of Atherosclerosis,https://doi.org/10.1093/aje/kwx225,"Keller JP, Rice KM."
Analysis of Longitudinal Studies With Repeated Outcome Measures: Adjusting for Time-Dependent Confounding Using Conventional Methods,https://doi.org/10.1093/aje/kwx311,"Keogh, RH; Daniel, RM; VanderWeele, TJ; Vansteelandt, S"
"Education and Cognitive Aging: Accounting for Selection and Confounding in Linkage of Data From the Danish Registry and Survey of Health, Ageing and Retirement in Europe",https://doi.org/10.1093/aje/kwy162,"Foverskov, E; Glymour, MM; Mortensen, EL; Holm, A; Lange, T; Lund, R"
Nonparametric efficient causal mediation with intermediate confounders,https://doi.org/10.1093/biomet/asaa085,"Diaz, I; Hejazi, NS; Rudolph, KE; van der Laan, MJ"
Sharp sensitivity bounds for mediation under unmeasured mediator-outcome confounding,https://doi.org/10.1093/biomet/asw012,"Ding, P; Vanderweele, TJ"
Instrumental variables as bias amplifiers with general outcome and confounding,https://doi.org/10.1093/biomet/asx009,"Ding, P; Vanderweele, TJ; Robins, JM"
On semiparametric estimation of a path-specific effect in the presence of mediator-outcome confounding,https://doi.org/10.1093/biomet/asz063,"Miles, CH; Shpitser, I; Kanki, P; Meloni, S; Tchetgen, EJT"
Confounder-dependent Bayesian mixture model: Characterizing heterogeneity of causal effects in air pollution epidemiology,https://doi.org/10.1093/biomtc/ujae025,"Zorzetto, D; Bargagli-Stoffi, FJ; Canale, A; Dominici, F"
Doubly robust methods for handling confounding by cluster,https://doi.org/10.1093/biostatistics/kxv041,"Zetterqvist, J; Vansteelandt, S; Pawitan, Y; Sjölander, A"
Guided Bayesian imputation to adjust for confounding when combining heterogeneous data sources in comparative effectiveness research,https://doi.org/10.1093/biostatistics/kxx003,"Antonelli, J; Zigler, C; Dominici, F"
Matching Methods for Confounder Adjustment: An Addition to the Epidemiologist's Toolbox,https://doi.org/10.1093/epirev/mxab003,"Greifer, N; Stuart, EA"
